,timestamp,elapsed,message_type,instance_id,instance_type,processor_a_cpu,processor_b_cpu,processor_c_cpu,processor_a_mem,processor_b_mem,processor_c_mem
1584,1717037330,10040465,text,b,medium-cpu,,,,,,
1585,1717037330,9345476,text,c,medium-gpu,,,,,,
1586,1717037330,20537900,text,a,large-cpu,,,,,,
1587,1717037330,10624831,text,b,medium-cpu,,,,,,
1588,1717037330,6754594,text,c,medium-gpu,,,,,,
1589,1717037330,16989879,text,a,large-cpu,,,,,,
1590,1717037330,5014232,text,b,medium-cpu,,,,,,
1591,1717037331,6468522,text,c,medium-gpu,,,,,,
1592,1717037331,716342,text,a,large-cpu,,,,,,
1593,1717037331,2264801,text,b,medium-cpu,,,,,,
1594,1717037331,16909900,text,c,medium-gpu,,,,,,
1595,1717037331,2057588,text,a,large-cpu,,,,,,
1596,1717037331,5261193,text,b,medium-cpu,,,,,,
1597,1717037331,7692901,text,c,medium-gpu,,,,,,
1598,1717037331,14171706,text,a,large-cpu,,,,,,
1599,1717037331,5751342,text,b,medium-cpu,,,,,,
1600,1717037331,10103744,text,c,medium-gpu,,,,,,
1601,1717037331,19690563,text,a,large-cpu,,,,,,
1602,1717037331,1213394,text,b,medium-cpu,,,,,,
1603,1717037331,18912725,text,c,medium-gpu,,,,,,
1604,1717037331,10018914,text,a,large-cpu,,,,,,
1605,1717037331,3032116,text,b,medium-cpu,,,,,,
1606,1717037332,17863878,text,c,medium-gpu,,,,,,
1607,1717037332,18339908,text,a,large-cpu,,,,,,
1608,1717037332,19299382,text,b,medium-cpu,,,,,,
1609,1717037332,23707667,text,c,medium-gpu,,,,,,
1610,1717037332,24944280,text,a,large-cpu,,,,,,
1611,1717037332,5542434,text,b,medium-cpu,,,,,,
1612,1717037332,10655468,text,c,medium-gpu,,,,,,
1613,1717037332,5335989,text,a,large-cpu,,,,,,
1614,1717037332,2756815,text,b,medium-cpu,,,,,,
1615,1717037332,12675508,text,c,medium-gpu,,,,,,
1616,1717037332,2974395,text,a,large-cpu,,,,,,
1617,1717037332,12704832,text,b,medium-cpu,,,,,,
1618,1717037332,2626346,text,c,medium-gpu,,,,,,
1619,1717037332,8029940,text,a,large-cpu,,,,,,
1620,1717037332,16145154,text,b,medium-cpu,,,,,,
1621,1717037333,2791361,text,c,medium-gpu,,,,,,
1622,1717037333,5771701,text,a,large-cpu,,,,,,
1623,1717037333,4815151,text,b,medium-cpu,,,,,,
1624,1717037333,19175699,text,c,medium-gpu,,,,,,
1625,1717037333,4780022,text,a,large-cpu,,,,,,
1626,1717037333,11271763,text,b,medium-cpu,,,,,,
1627,1717037333,9952005,text,c,medium-gpu,,,,,,
1628,1717037333,12203608,text,a,large-cpu,,,,,,
1629,1717037333,17602340,text,b,medium-cpu,,,,,,
1630,1717037333,13203650,text,c,medium-gpu,,,,,,
1631,1717037333,19541416,text,a,large-cpu,,,,,,
1632,1717037333,10462293,text,b,medium-cpu,,,,,,
1633,1717037333,17118141,text,c,medium-gpu,,,,,,
1634,1717037333,13566533,text,a,large-cpu,,,,,,
1635,1717037333,2835268,text,b,medium-cpu,,,,,,
1636,1717037334,9840530,text,c,medium-gpu,,,,,,
1637,1717037334,15392861,text,a,large-cpu,,,,,,
1638,1717037334,21498158,text,b,medium-cpu,,,,,,
1639,1717037334,1297920,text,c,medium-gpu,,,,,,
1640,1717037334,12532517,text,a,large-cpu,,,,,,
1641,1717037334,9090207,text,b,medium-cpu,,,,,,
1642,1717037334,14687659,image,c,medium-gpu,,,,,,
1643,1717037334,4981924,text,a,large-cpu,,,,,,
1644,1717037334,3277336,text,b,medium-cpu,,,,,,
1645,1717037334,6851494,text,c,medium-gpu,,,,,,
1646,1717037334,7824549,text,a,large-cpu,,,,,,
1647,1717037334,19070957,text,b,medium-cpu,,,,,,
1648,1717037334,2233570,text,c,medium-gpu,,,,,,
1649,1717037334,12996334,text,a,large-cpu,,,,,,
1650,1717037334,1383000,text,b,medium-cpu,,,,,,
1651,1717037335,10247236,text,c,medium-gpu,,,,,,
1652,1717037335,7824880,text,a,large-cpu,,,,,,
1653,1717037335,3454523,text,b,medium-cpu,,,,,,
1654,1717037335,9718557,text,c,medium-gpu,,,,,,
1655,1717037335,5180098,text,a,large-cpu,,,,,,
1656,1717037335,15913031,text,b,medium-cpu,,,,,,
1657,1717037335,7955967,text,c,medium-gpu,,,,,,
1658,1717037335,7310085,text,a,large-cpu,,,,,,
1659,1717037335,11684171,text,b,medium-cpu,,,,,,
1660,1717037335,10576740,text,c,medium-gpu,,,,,,
1661,1717037335,8039586,text,a,large-cpu,,,,,,
1662,1717037335,6752166,text,b,medium-cpu,,,,,,
1663,1717037335,12705481,text,c,medium-gpu,,,,,,
1664,1717037335,10302122,text,a,large-cpu,,,,,,
1665,1717037335,12604935,text,b,medium-cpu,,,,,,
1666,1717037336,9064666,text,c,medium-gpu,,,,,,
1667,1717037336,18236880,text,a,large-cpu,,,,,,
1668,1717037336,7721802,text,b,medium-cpu,,,,,,
1669,1717037336,22408148,text,c,medium-gpu,,,,,,
1670,1717037336,11266730,text,a,large-cpu,,,,,,
1671,1717037336,2063385,text,b,medium-cpu,,,,,,
